frase,situacao
Sinto inquietação e calafrio na coluna após comer,alto risco
palpitação aguda nas pernas há 2 dias,baixo risco
Tenho aguda tontura nos olhos há 2 dias,alto risco
tontura repentina na garganta após comer,alto risco
Apresentei persistente inchaço associada a aperto no abdômen,alto risco
Apresentei moderada dor seguida de febre nas costas,alto risco
Apresentei leve rigidez muscular com confusão mental nas pernas,alto risco
Sinto perda de visão junto com febre nas pernas ao levantar,alto risco
Tenho contínua suor excessivo na cabeça durante o repouso,baixo risco
dor moderada na garganta há 2 dias,baixo risco
calafrio aguda nos pés durante a noite,baixo risco
Tenho repentina aperto na coluna após esforço,baixo risco
Tenho intensa palpitação nas mãos após comer,baixo risco
Apresentei forte perda de visão com fraqueza nas costas,alto risco
Sinto cansaço associada a náusea na garganta de manhã,baixo risco
Apresentei repentina dor de cabeça com febre na garganta,alto risco
Apresentei intermitente perda de visão associada a inquietação nos olhos,alto risco
Apresentei moderada coceira junto com fraqueza na coluna,alto risco
Sinto dor abdominal junto com falta de ar na cabeça durante a noite,alto risco
Apresentei crônica desconforto e desconforto nos olhos,baixo risco
Apresentei repentina aperto e perda de visão nos olhos,alto risco
Tenho repentina dor na garganta após comer,baixo risco
Tenho intensa rigidez muscular nas costas à noite,baixo risco
Apresentei crônica inquietação junto com perda de visão nos olhos,baixo risco
Apresentei intermitente fraqueza junto com febre nas pernas,alto risco
Sensação de inquietação intermitente de manhã,baixo risco
dor repentina nos olhos ao levantar,baixo risco
Tenho intensa náusea na garganta há 2 dias,alto risco
falta de ar crônica na garganta ao acordar,baixo risco
Apresentei moderada febre associada a cansaço nos braços,alto risco
Sensação de dor no peito forte após comer,alto risco
Sinto náusea e febre na lombar após esforço,baixo risco
suor excessivo crônica nos pés à noite,alto risco
Sinto palpitação e falta de ar nas pernas ao acordar,baixo risco
Apresentei aguda náusea e tontura na cabeça,baixo risco
Sensação de dor no peito intensa ao levantar,alto risco
Sinto febre junto com perda de equilíbrio nas pernas há uma semana,alto risco
Apresentei repentina falta de ar seguida de cansaço nas pernas,baixo risco
Apresentei persistente dor no peito com dor no peito nos pés,alto risco
Apresentei crônica confusão mental associada a calafrio na garganta,alto risco
Tenho forte febre nas pernas durante o repouso,baixo risco
Sinto tontura associada a calafrio na coluna há uma semana,baixo risco
Tenho moderada dor de cabeça na lombar após esforço,baixo risco
Sinto febre junto com formigamento na cabeça ao acordar,alto risco
Sinto inchaço com dor no peito na garganta ao acordar,baixo risco
Tenho persistente rigidez muscular na coluna ao levantar,alto risco
Tenho intermitente suor excessivo nos braços à noite,baixo risco
aperto moderada nos olhos à noite,alto risco
aperto aguda na garganta após comer,alto risco
Sinto cansaço associada a dor de cabeça na lombar após esforço,alto risco
náusea forte no peito há 2 dias,baixo risco
Tenho intermitente dor no peito na lombar após comer,alto risco
formigamento forte nas mãos há uma semana,baixo risco
falta de ar moderada na garganta ao levantar,baixo risco
tosse crônica nos braços durante o repouso,alto risco
Tenho persistente cansaço nas mãos há uma semana,baixo risco
Sinto falta de ar com falta de ar nos pés após esforço,baixo risco
Apresentei persistente confusão mental junto com rigidez muscular nos pés,baixo risco
Sensação de suor excessivo crônica durante a noite,alto risco
Sinto falta de ar e tosse na garganta de manhã,alto risco
náusea crônica na cabeça ao acordar,alto risco
Sinto dor e aperto na lombar de manhã,alto risco
Tenho persistente inquietação na garganta à noite,baixo risco
Sinto formigamento e rigidez muscular no abdômen ao acordar,baixo risco
formigamento persistente nos pés há uma semana,alto risco
Sensação de inquietação crônica há uma semana,alto risco
cansaço persistente nas mãos após comer,baixo risco
Tenho repentina fraqueza nos olhos ao acordar,alto risco
Sinto rigidez muscular junto com palpitação nos pés há 2 dias,alto risco
Apresentei aguda confusão mental com suor excessivo nos olhos,baixo risco
Apresentei crônica falta de ar seguida de inchaço na coluna,baixo risco
Sinto dor e inchaço nos braços à noite,alto risco
fraqueza persistente na garganta há 2 dias,baixo risco
dor de cabeça aguda no abdômen há uma semana,baixo risco
Sensação de náusea moderada há uma semana,alto risco
Apresentei aguda desconforto associada a rigidez muscular na lombar,alto risco
inchaço contínua no peito durante a noite,alto risco
Tenho forte suor excessivo nos pés há 2 dias,baixo risco
Sensação de náusea moderada ao levantar,alto risco
Tenho contínua inchaço nas pernas há 2 dias,alto risco
Sensação de cansaço persistente após esforço,alto risco
dor no peito contínua nas costas à noite,baixo risco
Apresentei persistente febre e formigamento na cabeça,alto risco
Sinto desconforto associada a inchaço nas pernas há uma semana,alto risco
Sinto inquietação seguida de inquietação nos braços ao acordar,baixo risco
dor de cabeça repentina no peito durante o repouso,baixo risco
inchaço contínua nos braços ao acordar,alto risco
Sensação de aperto crônica há uma semana,alto risco
Sensação de calafrio moderada há 2 dias,baixo risco
Sinto dor de cabeça seguida de confusão mental nos pés há uma semana,alto risco
Apresentei intensa perda de visão com dor de cabeça na garganta,baixo risco
Apresentei leve calafrio associada a inquietação na garganta,alto risco
Sinto aperto junto com tontura nos olhos à noite,alto risco
Tenho leve coceira na coluna após esforço,baixo risco
Sinto confusão mental junto com dor de cabeça nos pés ao levantar,baixo risco
Apresentei persistente dor no peito associada a rigidez muscular na coluna,baixo risco
Tenho contínua náusea no peito ao acordar,baixo risco
Sinto dor abdominal e tosse no abdômen à noite,alto risco
calafrio aguda nos olhos há 2 dias,baixo risco
Sensação de rigidez muscular contínua à noite,alto risco
Apresentei leve aperto seguida de inquietação no abdômen,alto risco
Sensação de tosse contínua há 2 dias,baixo risco
Tenho leve tosse nas pernas há 2 dias,alto risco
Apresentei repentina perda de equilíbrio associada a aperto nos olhos,alto risco
Sinto dor no peito associada a cansaço nos olhos após esforço,alto risco
Sinto rigidez muscular seguida de calafrio na garganta ao acordar,baixo risco
Sinto suor excessivo seguida de febre no peito há 2 dias,baixo risco
dor de cabeça intermitente nos pés durante o repouso,baixo risco
falta de ar moderada nos pés ao acordar,alto risco
Sensação de dor de cabeça repentina há uma semana,alto risco
Sensação de rigidez muscular crônica ao acordar,alto risco
Sinto desconforto seguida de náusea na lombar após comer,baixo risco
Apresentei intensa fraqueza com aperto nas mãos,alto risco
Sinto cansaço com dor no peito na cabeça de manhã,baixo risco
Apresentei intermitente palpitação associada a confusão mental na cabeça,baixo risco
Tenho forte suor excessivo no peito durante a noite,alto risco
Apresentei intermitente falta de ar junto com suor excessivo no peito,baixo risco
Sinto dor abdominal e suor excessivo na cabeça durante o repouso,alto risco
Sinto dor abdominal junto com perda de equilíbrio no peito há uma semana,baixo risco
Tenho aguda falta de ar no abdômen há uma semana,alto risco
Sinto perda de visão e febre na garganta há uma semana,alto risco
Apresentei forte cansaço seguida de desconforto na garganta,alto risco
cansaço intensa nos olhos após comer,alto risco
Tenho forte dor no peito na coluna durante a noite,baixo risco
Sinto dor e coceira nas costas após comer,alto risco
Sinto fraqueza e náusea nas costas durante a noite,alto risco
Apresentei intermitente inquietação seguida de inchaço na cabeça,alto risco
Sensação de dor aguda durante a noite,alto risco
formigamento leve nos pés após esforço,baixo risco
Tenho intensa perda de visão na cabeça ao acordar,baixo risco
Sinto suor excessivo e falta de ar na lombar há 2 dias,baixo risco
Sensação de suor excessivo repentina ao levantar,baixo risco
perda de equilíbrio forte nas pernas à noite,alto risco
Apresentei intermitente aperto associada a inquietação na coluna,baixo risco
Sinto falta de ar e perda de visão no peito há 2 dias,alto risco
Tenho contínua tontura na coluna durante o repouso,alto risco
Tenho moderada inchaço nas costas após esforço,alto risco
cansaço persistente nas mãos durante a noite,alto risco
Apresentei moderada palpitação junto com rigidez muscular no peito,alto risco
Sinto perda de equilíbrio junto com tosse nas pernas ao levantar,alto risco
Apresentei contínua dor de cabeça seguida de inchaço nas costas,alto risco
Apresentei forte dor e inchaço na garganta,alto risco
Tenho intermitente aperto na cabeça durante o repouso,baixo risco
Tenho repentina palpitação nas pernas após comer,baixo risco
Tenho contínua dor no abdômen há uma semana,alto risco
Sensação de palpitação intensa ao acordar,baixo risco
palpitação persistente na garganta após esforço,baixo risco
Tenho contínua dor abdominal na garganta durante a noite,baixo risco
tosse crônica nas pernas após esforço,baixo risco
Sensação de dor de cabeça aguda ao levantar,baixo risco
Apresentei leve dor e cansaço nos olhos,baixo risco
Sinto desconforto com tosse no abdômen após esforço,baixo risco
Sinto perda de equilíbrio com dor de cabeça nos olhos após esforço,alto risco
Sinto dor com tosse na coluna há uma semana,alto risco
Tenho crônica dor de cabeça no peito de manhã,baixo risco
Tenho moderada calafrio no peito há uma semana,alto risco
Sensação de fraqueza persistente ao acordar,baixo risco
Apresentei intermitente calafrio com cansaço nas costas,baixo risco
Apresentei repentina rigidez muscular associada a tosse nas mãos,alto risco
dor no peito leve na lombar após esforço,alto risco
Sinto palpitação e tontura nos braços de manhã,alto risco
Sinto inquietação seguida de dor no peito nas pernas há 2 dias,alto risco
Apresentei crônica náusea e dor no peito no peito,alto risco
Sensação de falta de ar moderada ao levantar,alto risco
Tenho forte calafrio na lombar durante a noite,alto risco
Apresentei leve rigidez muscular associada a inquietação nas mãos,alto risco
Tenho moderada náusea na lombar à noite,baixo risco
Apresentei aguda perda de visão junto com inchaço nos braços,alto risco
Sensação de coceira leve há 2 dias,baixo risco
calafrio moderada nos olhos ao acordar,alto risco
Apresentei persistente rigidez muscular com palpitação na coluna,alto risco
Tenho persistente aperto na lombar durante o repouso,alto risco
Sinto dor de cabeça com dor na coluna durante a noite,alto risco
Sinto confusão mental e dor no peito na coluna à noite,baixo risco
desconforto intensa na coluna durante o repouso,baixo risco
dor de cabeça persistente no abdômen de manhã,alto risco
Sensação de cansaço repentina após esforço,baixo risco
Sinto rigidez muscular seguida de rigidez muscular nas mãos durante a noite,baixo risco
Sensação de cansaço moderada durante o repouso,alto risco
Sensação de tontura forte há 2 dias,baixo risco
Apresentei aguda perda de equilíbrio associada a calafrio na garganta,alto risco
febre persistente na coluna há uma semana,alto risco
